Date_ID,Date,Day,Month,Month_Name,Quarter,Year,Weekday,Weekend
1,2024-01-01,1,1,January,1,2024,Monday,False
2,2024-01-02,2,1,January,1,2024,Tuesday,False
3,2024-01-03,3,1,January,1,2024,Wednesday,False
4,2024-01-04,4,1,January,1,2024,Thursday,False
5,2024-01-05,5,1,January,1,2024,Friday,False
6,2024-01-06,6,1,January,1,2024,Saturday,True
7,2024-01-07,7,1,January,1,2024,Sunday,True
8,2024-01-08,8,1,January,1,2024,Monday,False
9,2024-01-09,9,1,January,1,2024,Tuesday,False
10,2024-01-10,10,1,January,1,2024,Wednesday,False
11,2024-01-11,11,1,January,1,2024,Thursday,False
12,2024-01-12,12,1,January,1,2024,Friday,False
13,2024-01-13,13,1,January,1,2024,Saturday,True
14,2024-01-14,14,1,January,1,2024,Sunday,True
15,2024-01-15,15,1,January,1,2024,Monday,False
16,2024-01-16,16,1,January,1,2024,Tuesday,False
17,2024-01-17,17,1,January,1,2024,Wednesday,False
18,2024-01-18,18,1,January,1,2024,Thursday,False
19,2024-01-19,19,1,January,1,2024,Friday,False
20,2024-01-20,20,1,January,1,2024,Saturday,True
21,2024-01-21,21,1,January,1,2024,Sunday,True
22,2024-01-22,22,1,January,1,2024,Monday,False
23,2024-01-23,23,1,January,1,2024,Tuesday,False
24,2024-01-24,24,1,January,1,2024,Wednesday,False
25,2024-01-25,25,1,January,1,2024,Thursday,False
26,2024-01-26,26,1,January,1,2024,Friday,False
27,2024-01-27,27,1,January,1,2024,Saturday,True
28,2024-01-28,28,1,January,1,2024,Sunday,True
29,2024-01-29,29,1,January,1,2024,Monday,False
30,2024-01-30,30,1,January,1,2024,Tuesday,False
31,2024-01-31,31,1,January,1,2024,Wednesday,False
32,2024-02-01,1,2,February,1,2024,Thursday,False
33,2024-02-02,2,2,February,1,2024,Friday,False
34,2024-02-03,3,2,February,1,2024,Saturday,True
35,2024-02-04,4,2,February,1,2024,Sunday,True
36,2024-02-05,5,2,February,1,2024,Monday,False
37,2024-02-06,6,2,February,1,2024,Tuesday,False
38,2024-02-07,7,2,February,1,2024,Wednesday,False
39,2024-02-08,8,2,February,1,2024,Thursday,False
40,2024-02-09,9,2,February,1,2024,Friday,False
41,2024-02-10,10,2,February,1,2024,Saturday,True
42,2024-02-11,11,2,February,1,2024,Sunday,True
43,2024-02-12,12,2,February,1,2024,Monday,False
44,2024-02-13,13,2,February,1,2024,Tuesday,False
45,2024-02-14,14,2,February,1,2024,Wednesday,False
46,2024-02-15,15,2,February,1,2024,Thursday,False
47,2024-02-16,16,2,February,1,2024,Friday,False
48,2024-02-17,17,2,February,1,2024,Saturday,True
49,2024-02-18,18,2,February,1,2024,Sunday,True
50,2024-02-19,19,2,February,1,2024,Monday,False
51,2024-02-20,20,2,February,1,2024,Tuesday,False
52,2024-02-21,21,2,February,1,2024,Wednesday,False
53,2024-02-22,22,2,February,1,2024,Thursday,False
54,2024-02-23,23,2,February,1,2024,Friday,False
55,2024-02-24,24,2,February,1,2024,Saturday,True
56,2024-02-25,25,2,February,1,2024,Sunday,True
57,2024-02-26,26,2,February,1,2024,Monday,False
58,2024-02-27,27,2,February,1,2024,Tuesday,False
59,2024-02-28,28,2,February,1,2024,Wednesday,False
60,2024-02-29,29,2,February,1,2024,Thursday,False
61,2024-03-01,1,3,March,1,2024,Friday,False
62,2024-03-02,2,3,March,1,2024,Saturday,True
63,2024-03-03,3,3,March,1,2024,Sunday,True
64,2024-03-04,4,3,March,1,2024,Monday,False
65,2024-03-05,5,3,March,1,2024,Tuesday,False
66,2024-03-06,6,3,March,1,2024,Wednesday,False
67,2024-03-07,7,3,March,1,2024,Thursday,False
68,2024-03-08,8,3,March,1,2024,Friday,False
69,2024-03-09,9,3,March,1,2024,Saturday,True
70,2024-03-10,10,3,March,1,2024,Sunday,True
71,2024-03-11,11,3,March,1,2024,Monday,False
72,2024-03-12,12,3,March,1,2024,Tuesday,False
73,2024-03-13,13,3,March,1,2024,Wednesday,False
74,2024-03-14,14,3,March,1,2024,Thursday,False
75,2024-03-15,15,3,March,1,2024,Friday,False
76,2024-03-16,16,3,March,1,2024,Saturday,True
77,2024-03-17,17,3,March,1,2024,Sunday,True
78,2024-03-18,18,3,March,1,2024,Monday,False
79,2024-03-19,19,3,March,1,2024,Tuesday,False
80,2024-03-20,20,3,March,1,2024,Wednesday,False
81,2024-03-21,21,3,March,1,2024,Thursday,False
82,2024-03-22,22,3,March,1,2024,Friday,False
83,2024-03-23,23,3,March,1,2024,Saturday,True
84,2024-03-24,24,3,March,1,2024,Sunday,True
85,2024-03-25,25,3,March,1,2024,Monday,False
86,2024-03-26,26,3,March,1,2024,Tuesday,False
87,2024-03-27,27,3,March,1,2024,Wednesday,False
88,2024-03-28,28,3,March,1,2024,Thursday,False
89,2024-03-29,29,3,March,1,2024,Friday,False
90,2024-03-30,30,3,March,1,2024,Saturday,True
91,2024-03-31,31,3,March,1,2024,Sunday,True
92,2024-04-01,1,4,April,2,2024,Monday,False
93,2024-04-02,2,4,April,2,2024,Tuesday,False
94,2024-04-03,3,4,April,2,2024,Wednesday,False
95,2024-04-04,4,4,April,2,2024,Thursday,False
96,2024-04-05,5,4,April,2,2024,Friday,False
97,2024-04-06,6,4,April,2,2024,Saturday,True
98,2024-04-07,7,4,April,2,2024,Sunday,True
99,2024-04-08,8,4,April,2,2024,Monday,False
